name,Per capita Income,"Food, beverages & tobacco",Clothing & footwear,Housing,House furnishing,Medical & health,Transport & communication,Recreation,Education,Other
New Zealand,0.551,0.53,0.964,1.062,1.048,1.243,1.136,1.299,0.915,1.245
Finland,0.562,0.525,0.964,1.062,1.048,1.242,1.135,1.297,0.915,1.244
Taiwan,0.567,0.523,0.964,1.062,1.048,1.242,1.135,1.296,0.915,1.244
Spain,0.584,0.516,0.964,1.062,1.047,1.24,1.135,1.294,0.914,1.242
Italy,0.592,0.513,0.964,1.062,1.047,1.239,1.134,1.293,0.914,1.241
Ireland,0.604,0.508,0.964,1.062,1.047,1.238,1.134,1.291,0.914,1.24
Denmark,0.607,0.507,0.964,1.062,1.047,1.238,1.134,1.291,0.914,1.24
Sweden,0.618,0.503,0.964,1.062,1.047,1.237,1.134,1.289,0.914,1.239
Hong Kong,0.623,0.501,0.964,1.062,1.047,1.236,1.134,1.288,0.914,1.238
Australia,0.636,0.495,0.964,1.062,1.047,1.235,1.133,1.287,0.914,1.237
Cyprus,0.64,0.494,0.964,1.062,1.047,1.235,1.133,1.286,0.914,1.237
Belgium,0.643,0.493,0.964,1.062,1.047,1.235,1.133,1.286,0.914,1.237
Japan,0.644,0.492,0.964,1.062,1.047,1.235,1.133,1.286,0.914,1.236
France,0.658,0.487,0.964,1.062,1.047,1.233,1.133,1.284,0.914,1.235
Germany,0.681,0.477,0.964,1.061,1.047,1.232,1.132,1.281,0.913,1.233
Canada,0.682,0.477,0.964,1.061,1.047,1.231,1.132,1.281,0.913,1.233
Iceland,0.689,0.474,0.964,1.061,1.047,1.231,1.132,1.28,0.913,1.233
Netherlands,0.692,0.473,0.964,1.061,1.047,1.231,1.132,1.28,0.913,1.232
Norway,0.692,0.473,0.964,1.061,1.047,1.231,1.132,1.28,0.913,1.232
United Kingdom,0.72,0.462,0.964,1.061,1.047,1.229,1.131,1.277,0.913,1.23
Switzerland,0.726,0.46,0.964,1.061,1.047,1.228,1.131,1.276,0.913,1.23
Austria,0.75,0.45,0.964,1.061,1.047,1.226,1.13,1.274,0.913,1.228
Luxembourg,0.906,0.386,0.964,1.06,1.047,1.217,1.127,1.26,0.911,1.219
United States,1,0.346,0.964,1.06,1.046,1.213,1.126,1.254,0.91,1.214
